Row Labels,Sum of Box_office,Average of IMDB_rating,Average of RT_score,Average of Runtime
1915,,5.9,,26.0
1924,,8.0,0.96,140.0
1927,,6.4,0.77,88.0
1935,,6.8,0.92,91.0
1936,,7.3,0.93,114.0
1938,,6.8,0.83,106.0
1941,"54,540",7.7,0.96,99.3
1942,,7.5,1.00,104.0
1943,"3,400,000",6.5,,99.0
1947,,7.5,0.88,97.1
1948,,7.7,1.00,127.8
1949,,7.2,0.88,83.0
1950,"63,463",7.3,0.90,85.7
1951,,6.9,,93.0
1952,"97,904",7.5,0.92,110.0
1954,"43,500,000",7.7,0.95,124.0
1955,,5.9,0.60,79.0
1956,"65,500,000",7.9,0.84,220.0
1957,,6.6,0.89,111.0
1958,"125,812,960",7.9,0.91,115.2
1959,,7.1,0.78,134.0
1960,"7,400,000",6.8,0.83,103.0
1961,,6.4,0.79,114.3
1962,"8,123,077",7.4,0.98,126.5
1963,,7.6,0.95,119.0
1964,"9,072,726",7.0,0.79,130.0
1967,"436,557,278",7.7,0.81,103.5
1968,"114,289,050",7.2,0.93,111.3
1969,,7.2,0.91,85.0
1970,"5,123,000",6.0,0.50,108.0
1971,"541,328,702",7.6,0.85,100.5
1972,"462,000,000",7.6,0.92,91.3
1973,"826,520,000",7.2,0.71,121.8
1974,"1,019,061,189",7.0,0.61,121.5
1976,"416,124,000",6.7,0.75,103.4
1977,"93,189,114",6.6,0.72,94.0
1978,"1,523,614,639",6.8,0.79,114.2
1979,"43,000,000",7.0,0.88,112.0
1980,"144,598,875",6.0,0.43,111.9
1981,,5.0,,92.3
1982,"167,793,944",7.1,0.91,97.0
1983,"828,838,031",6.9,0.64,137.3
1984,"123,053,746",5.9,0.30,90.3
1985,"642,282,724",6.2,0.43,115.9
1986,"1,225,586,030",7.1,0.75,114.3
1987,"143,030,850",5.8,0.50,110.3
1988,"1,483,201,626",6.3,0.50,94.8
1989,"228,149,035",7.3,0.82,110.8
1990,"347,371,110",6.4,0.48,104.0
1991,"266,270,202",5.8,0.68,113.9
1992,"1,951,605,859",6.7,0.58,122.3
1993,"2,439,465,398",6.7,0.59,110.2
1994,"1,597,918,308",5.8,0.39,115.9
1995,"1,434,534,427",5.7,0.33,105.8
1996,"1,339,110,365",6.7,0.60,114.6
1997,"1,370,832,084",6.6,0.65,112.9
1998,"1,703,052,855",6.0,0.40,103.5
1999,"1,086,917,652",5.9,0.34,115.0
2000,"571,428,152",5.8,0.32,93.8
2001,"2,083,699,408",6.0,0.39,106.1
2002,"410,597,776",5.9,0.42,106.5
2003,"684,750,457",5.9,0.55,111.8
2004,"410,452,510",5.8,0.16,97.1
2005,"78,637,412",5.5,0.36,96.6
2006,"654,445,616",7.8,0.67,112.4
2007,"33,080,084",7.7,0.90,157.0
2008,"382,095,588",7.5,0.93,128.0
2010,"105,561,146",6.6,0.53,116.5
2011,"983,555,261",6.5,0.85,111.7
2012,"19,354,458",6.6,0.54,66.8
2013,"1,114,081,990",6.9,0.82,90.3
2014,"4,989,767,081",7.7,0.72,37.3
2015,"8,672,045,797",6.9,0.61,97.9
2016,"75,921,615",7.2,0.25,29.8
2017,,6.8,0.56,46.2
2018,"10,804,752,691",6.7,0.65,112.4
2019,"404,318,928",6.7,0.62,83.4
2020,"744,873,325",6.6,0.64,256.0
2021,"6,059,539,727",6.1,0.71,96.3
2022,,6.6,,23.3
2023,"859,376,351",6.7,0.81,107.7
2024,,7.6,,87.0
2025,"6,517,660",5.6,0.46,100.4
Grand Total,"64,416,297,796",6.8,0.63,89.9
