Title,Release Year,IMDB specification
180,2011,tt1855110
24 Hours on Craigslist,2005,
40 Days and 40 Nights,2002,
48 Hours,1982,tt0083511
50 First Dates,2004,
A Jitney Elopement,1915,
A Man on The Inside,2024,
A Night Full of Rain,1978,
A Smile Like Yours,1997,
A Taiwanese Tale of Two Cities,2018,tt8893498
A View to a Kill,1985,
About a Boy,2014,tt2666270
After the Hunt,2024,
After the Thin Man,1936,
Age of Adaline,2015,tt1655441
Alcatraz,2012,
Alexander's Ragtime Band,1938,
Alive,2020,tt10620868
All About Eve,1950,tt0042192
Always Be My Maybe,2019,tt7374948
American Graffiti,1973,
American Yearbook,2004,
Americana,2015,tt3662778
Another 48 Hours,1990,tt0099044
Ant-Man,2015,
Ant-Man and the Wasp,2018,
Ant-Man and the Wasp: Quantumania,2023,
Around the Fire,1998,
Attack of the Killer Tomatoes,1978,tt0080391
Babies,2010,tt1020938
Ballers Season 3,2017,tt2891574
Barbary Coast,1935,tt0026097
Basic Instinct,1992,
Beaches,1988,tt0094715
Beautiful Boy,2018,
Bedazzled,2000,tt0230030
Bee Season,2005,
Bicentennial Man,1999,
Big Eyes,2014,
Big Sur,2013,
Big Trouble in Little China,1986,
Birdman of Alcatraz,1962,
Birth of the Dragon,2016,
Bitter Melon,2018,
Blindspotting (Season 2),2023,tt11097374
Blindspotting Season 2,2022,tt11097374
Blue Jasmine,2013,
Boys and Girls,2000,
Broken-A Modern Love Story,2010,Delete
"Budding Prospects, Pilot",2017,tt6101624
Bullitt,1968,
Burglar,1987,
By Hook or By Crook,2001,
Can't Stop the Music,1980,
Cardinal X,2015,tt3664992
Casualties of War,1989,
Chan is Missing,1982,
Chance - Season 1 ep105,2016,tt5620076
Chance - Season 1 Pilot,2016,tt5620076
Chance - Season 1ep105,2016,tt5620076
Chance- Season 1 ep102,2016,tt5620076
Chance- Season 1 ep103,2016,tt5620076
Chance- Season 1 ep104,2016,tt5620076
Chance- Season 1 ep106,2016,tt5620076
Chance- Season 1 ep107,2016,tt5620076
Chance- Season 1 ep108,2016,tt5620076
Chance- Season 1 ep109,2016,tt5620076
Chance- Season 1 ep110,2016,tt5620076
Chance Season 2,2017,tt5620076
Chef Dynasty: House of Fang,2022,
Cherish,2002,
Chu Chu and the Philly Flash,1981,
City of Angels,1998,
Class Action,1991,
Clickbait,2021,tt10888878
Common Threads: Stories From the Quilt,1989,
Confessions of a Burning Man,2003,tt0357567
Contagion,2011,
Copycat,1995,
Crackers,1984,tt0087096
CSI: NY- episode 903,2012,Delete
D.O.A,1950,tt0042369
Dark Passage,1947,
Dawn of the Planet of the Apes,2014,
Days of Wine and Roses,1962,
Desperate Measures,1998,tt0118966
DEVS,2020,tt8134186
Dim Sum: A Little Bit of Heart,1985,
Dirty Harry,1971,
Doctor Dolittle,1998,tt0118998
Dopamine,2003,tt0342300
Dope Queens,2025,tt11791362
Down Periscope,1996,tt0116130
Dr. Dolittle 2,2001,
Dream for an Insomniac,1996,
Dream with the Fishes,1997,
Dreams,2025,tt31710990
Dying Young,1991,
Earth Mama,2023,tt18382328
Edtv,1999,
Escape From Alcatraz,1979,
Etruscan Smile,2017,tt5459382
Experiment in Terror,1962,
Faces of Death,1978,tt0077533
Fairyland,2023,
Family Plot,1976,tt0074512
Fandom,2004,tt0417667
Fat Man and Little Boy,1989,
