Title,Locations,Fun facts,Production company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,Longitude,Latitude,Analysis neighborhood,Imdb_id,Year,Kind,Genres,Plot,Language,Country,Certificates,Runtime,Awards,Imdb_rating,Imdb_votes,Metascore,Box_office,Poster,Rt_score,Metacritic_score
Milk,El Camino Del Mar,,Focus Features,Focus Features,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,-122.4962354,37.7857806,Lincoln Park,tt1013753,2008,movie,"Biography, Drama, History","Using flashbacks from a statement recorded late in life and archival footage for atmosphere, this film traces Harvey Milk's career from his 40th birthday to his death. He leaves the closet and New York, opens a camera shop that becomes the salon for San Francisco's growing gay community, and organizes gays' purchasing power to build political alliances. He runs for office with lover Scott Smith as his campaign manager. Victory finally comes on the same day Dan White wins in the city's conservative district. The rest of the film sketches Milk's relationship with White and the 1978 fight against a statewide initiative to bar gays and their supporters from public school jobs.",English,United States,R,128,Won 2 Oscars. 66 wins & 146 nominations total,7.5,184363,83,"$31,841,299 ",https://m.media-amazon.com/images/M/MV5BOWVmZWYzMDEtN2NkMi00NWM4LThjYzYtNzBjNzIzN2FmM2NlXkEyXkFqcGc@._V1_SX300.jpg,93%,83/100
Chance,Coit Tower,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,-122.4058222,37.8023949,North Beach,tt5620076,2016,series,"Drama, Mystery, Thriller","Modern day noir story about Psychiatrist Eldon Chance, who's in a rut. He's middle-aged, his wife wants a divorce, which might put a strain on his relationship with his astute teenage daughter he deeply cares about, and he's getting tired of his professional work. Chance's natural talent for psychoanalysis allows him to easily assess everyone that wants his help but that doesn't mean he can actually cure them or even help them. Everything changes however, when he meets mysterious and attractive Jaclyn Blackstone, who turns out to have both dark secrets and big psychological as well as private problems. But her most immediate problem is her abusive ex-husband Raymond Blackstone, who also happens to be a corrupt cop with connections. Chance falls for Jaclyn and becomes obsessed with helping her but he quickly realizes that he's in over his head. Help eventually comes in the form of a hulking man called D. While clearly a bit unhinged, asocial and disturbed, D is also highly skilled, calculated, smart and efficient and possesses huge knowledge of tactics, weaponry and hand-to-hand combat. He is also highly focused and loyal and agrees to help Chance find a way to deal with the new and dangerous situation he's put himself in over Jaclyn.",English,United States,TV-MA,1,,7.5,11253,,,https://m.media-amazon.com/images/M/MV5BOTc3MDYwNTg4NF5BMl5BanBnXkFtZTgwMTk0NDYzMDI@._V1_SX300.jpg,,
Red Widow,Mason & Sacramento St,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,-122.4110311,37.7927806,Nob Hill,tt2215399,2013,series,"Crime, Drama, Thriller",A widow learns that her husband was a mobster and soon finds herself in the world of organized crime as she takes her revenge on those who murdered him.,English,United States,TV-PG,60,,6.5,3211,,,https://m.media-amazon.com/images/M/MV5BODMwNDU0OTU3N15BMl5BanBnXkFtZTcwODI2NjAwOQ@@._V1_SX300.jpg,,
Shuang cheng gu shi,Pier 5,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,-122.3960343,37.7980698,,tt8893498,2018,series,Drama,"A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",,Taiwan,,,7 nominations,6.4,183,,,https://m.media-amazon.com/images/M/MV5BOTYwNjg0ZWYtZDQxYi00N2M0LTkwMTItOTBjYTMwYzVjNDhjXkEyXkFqcGc@._V1_SX300.jpg,,
Americana,Palace of Fine Arts,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,-122.4484231,37.8029308,Marina,tt3662778,2016,movie,Drama,An alcoholic film editor puts together the pieces of his movie star sister's murder.,English,United States,R,81,1 win & 1 nomination,5.5,62,,,https://m.media-amazon.com/images/M/MV5BYjYxNGI3MmUtOTYyNS00MzFhLTg1NDgtNDhlMTZlYjBjMjAxXkEyXkFqcGdeQXVyNTEyMDQyMjM@._V1_SX300.jpg,,
Desperate Measures,,,Mandalay Entertainment,TriStar Pictures,Barbet Schroeder,David Klass,Michael Keaton,Andy Garcia,Raven-Symone,,,,tt0118966,1998,movie,"Action, Crime, Drama","San Francisco police officer Frank Connor is in a frantic search for a compatible bone marrow donor for his gravely ill son. There's only one catch: the potential donor is convicted multiple murderer Peter McCabe who sees a trip to the hospital as the perfect opportunity to get what he wants most: freedom. With McCabe's escape, the entire hospital becomes a battleground and Connor must pursue and, ironically, protect the deadly fugitive who is his son's only hope for survival.",English,United States,R,100,1 win total,6.1,18825,,"$13,806,137 ",https://m.media-amazon.com/images/M/MV5BZTI4YzJiYTEtYmJmNS00YjNhLWI0MTktOWYxYjZjNWVkNzJmXkEyXkFqcGc@._V1_SX300.jpg,19%,
Devs,Leavenworth at Filbert St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,-122.4176189,37.800359,Russian Hill,tt8134186,2020,series,"Drama, Mystery, Sci-Fi","A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend.","English, Chinese","United Kingdom, United States",TV-MA,409,Nominated for 4 Primetime Emmys. 14 nominations total,7.6,55967,,,https://m.media-amazon.com/images/M/MV5BMDBmMGFiNGYtNDRjMS00NzJlLWE5YjctOTkzNDM0ODM5YTRlXkEyXkFqcGc@._V1_SX300.jpg,,
The Organization,,,The Mirisch Corporation,United Artists,Don Medford,James R. Webb,Sidney Poitier,Barbara McNair,,,,,tt0067535,1971,movie,"Action, Crime, Drama","After a group of young revolutionaries break into a corporation's headquarters and steal $5,000,000 worth of heroin to keep it off the street, they call on San Francisco Police Lieutenant Virgil Tibbs for assistance. Though sympathetic to their cause, the straight-arrow Tibbs refuses to consider it because they broke the law, but when the group is then accused of a murder it didn't commit, Tibbs finally joins them in order to ferret out the identity of the real killer, while keeping his now rogue undercover investigation a secret from his SFPD superiors.",English,United States,PG-13,106,1 nomination,6,2225,,"$1,501,277 ",https://m.media-amazon.com/images/M/MV5BMTIyMTExNjAtMWViYi00NTRjLWFjOTctZjFiYjZmMjk4MGM3XkEyXkFqcGc@._V1_SX300.jpg,25%,
Murder in the First,Joice Street at Clay Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,-122.4087417,37.7939662,Chinatown,tt2402061,2014,series,"Crime, Drama, Mystery","A single murder case is dissected from the committing of the crime through to the investigation, arrest and trial.",English,United States,TV-MA,1,2 wins & 2 nominations total,7.3,8057,,,https://m.media-amazon.com/images/M/MV5BMDJhYmQyYmUtZDg4ZS00M2RmLWFjZmYtMmMxYWVlZDYzNTA5XkEyXkFqcGc@._V1_SX300.jpg,,
Sense8,Van Ness and 12th St.,A couple reminisces on the moment they first fell in love,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,-122.4188895,37.7735588,Mission,tt2431438,2015,series,"Drama, Mystery, Sci-Fi","Sense8 tells the story of eight strangers: Will (Smith), Riley (Middleton), Capheus (Ameen), Sun (Bae), Lito (Silvestre), Kala (Desai), Wolfgang (Riemelt), and Nomi (Clayton). Each individual is from a different culture and part of the world. In the aftermath of a tragic death they all experience through what they perceive as dreams or visions, they suddenly find themselves growing mentally and emotionally connected. While trying to figure how and why this connection happened and what it means, a mysterious man named Jonas tries to help the eight. Meanwhile, another stranger called Whispers attempts to hunt them down, using the same sensate power to gain full access to a sensate's mind (thoughts/sight) after looking into their eyes. Each episode reflects the views of the characters interacting with each other while delving deeper into their backgrounds and what sets them apart and brings them together with the others.",English,United States,TV-MA,60,Nominated for 2 Primetime Emmys. 3 wins & 17 nominations total,8.2,170731,,,https://m.media-amazon.com/images/M/MV5BMjA4MTEyMzcwMl5BMl5BanBnXkFtZTgwMTIwODczNTM@._V1_SX300.jpg,,
